index,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,spotifyLink
224,Team,Lorde,art pop,2014,100,58,69,-7,31,42,193,17,9,73,https://open.spotify.com/track/3G6hD9B2ZHOsgf4WfNu7X1
534,My My My!,Troye Sivan,dance pop,2018,103,46,70,-8,5,48,205,0,8,76,https://open.spotify.com/track/4NiehSBQthimPzRsVeOgCT
369,Into You,Ariana Grande,dance pop,2016,108,73,62,-6,14,37,244,2,11,80,https://open.spotify.com/track/76FZM38RC8XaAjJ77CVTNe
109,What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78,https://open.spotify.com/track/4cluDES4hQEUhmXj6TXkSo
15,Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,https://open.spotify.com/track/5IaL2LtensPE1x8K4NGaNl
196,Applause,Lady Gaga,dance pop,2013,140,78,67,-4,11,73,212,3,5,52,https://open.spotify.com/track/5ka2ajep9OAvU5Sgduhiex
26,Animal,Neon Trees,indie pop,2010,148,83,48,-6,38,74,212,0,4,65,https://open.spotify.com/track/0l4DTppOxy7NUaEcwXuOb6
40,Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,12,26,253,3,9,58,https://open.spotify.com/track/456WNXWhDwYOSf5SpTuqxd
538,Look What You Made Me Do,Taylor Swift,pop,2018,128,71,77,-6,13,51,212,20,12,75,https://open.spotify.com/track/1P17dC1amhFzptugyAO7Il
366,Cake By The Ocean,DNCE,dance pop,2016,119,75,77,-5,4,90,219,15,5,81,https://open.spotify.com/track/76hfruVvmfQbw0eYn1nmeC
408,Out Of The Woods,Taylor Swift,pop,2016,92,84,55,-7,34,34,236,0,4,66,https://open.spotify.com/track/0qUnBLZ8bJqUNEeQgayL9t
